id,name,name.type,type.label,name.roll
A,ResourceA,4,Lumber,8
B,ResourceB,6,Wool,11
C,ResourceC,4,Lumber,6
D,ResourceD,6,Wool,4
E,ResourceE,3,Grain,2
F,ResourceF,5,Ore,10
G,ResourceG,3,Grain,4
H,ResourceH,6,Wool,5
I,ResourceI,6,Wool,11
J,ResourceJ,5,Ore,9
K,ResourceK,3,Grain,5
L,ResourceL,5,Ore,3
M,ResourceM,4,Lumber,8
N,ResourceN,2,Brick,3
O,ResourceO,3,Grain,9
P,ResourceP,4,Lumber,10
Q,ResourceQ,1,Desert,7
R,ResourceR,2,Brick,6
S,ResourceS,2,Brick,12
1,1,7,,
2,2,7,,
3,3,7,,
4,4,7,,
5,5,7,,
6,6,7,,
7,7,7,,
8,8,7,,
9,9,7,,
10,10,7,,
11,11,7,,
12,12,7,,
13,13,7,,
14,14,7,,
15,15,7,,
16,16,7,,
17,17,7,,
18,18,7,,
19,19,7,,
20,20,7,,
21,21,7,,
22,22,7,,
23,23,7,,
24,24,7,,
25,25,7,,
26,26,7,,
27,27,7,,
28,28,7,,
29,29,7,,
30,30,7,,
31,31,7,,
32,32,7,,
33,33,7,,
34,34,7,,
35,35,7,,
36,36,7,,
37,37,7,,
38,38,7,,
39,39,7,,
40,40,7,,
41,41,7,,
42,42,7,,
43,43,7,,
44,44,7,,
45,45,7,,
46,46,7,,
47,47,7,,
48,48,7,,
49,49,7,,
50,50,7,,
51,51,7,,
52,52,7,,
53,53,7,,
54,54,7,,
