id,name,trade.type,trade.label
P1,P1,3,Grain
P2,P2,4,Lumber
P3,P3,5,Ore
P4,P4,1,Everything
P5,P5,6,Wool
P6,P6,1,Everything
P7,P7,1,Everything
P8,P8,2,Brick
P9,P9,1,Everything
1,1,7,Intersection
2,2,7,Intersection
3,3,7,Intersection
4,4,7,Intersection
5,5,7,Intersection
6,6,7,Intersection
7,7,7,Intersection
8,8,7,Intersection
9,9,7,Intersection
10,10,7,Intersection
11,11,7,Intersection
12,12,7,Intersection
13,13,7,Intersection
14,14,7,Intersection
15,15,7,Intersection
16,16,7,Intersection
17,17,7,Intersection
18,18,7,Intersection
19,19,7,Intersection
20,20,7,Intersection
21,21,7,Intersection
22,22,7,Intersection
23,23,7,Intersection
24,24,7,Intersection
25,25,7,Intersection
26,26,7,Intersection
27,27,7,Intersection
28,28,7,Intersection
29,29,7,Intersection
30,30,7,Intersection
31,31,7,Intersection
32,32,7,Intersection
33,33,7,Intersection
34,34,7,Intersection
35,35,7,Intersection
36,36,7,Intersection
37,37,7,Intersection
38,38,7,Intersection
39,39,7,Intersection
40,40,7,Intersection
41,41,7,Intersection
42,42,7,Intersection
43,43,7,Intersection
44,44,7,Intersection
45,45,7,Intersection
46,46,7,Intersection
47,47,7,Intersection
48,48,7,Intersection
49,49,7,Intersection
50,50,7,Intersection
51,51,7,Intersection
52,52,7,Intersection
53,53,7,Intersection
54,54,7,Intersection
